id,split,source_entry,publish_date,Q_refined,category,subcategory,predication,department,keywords,content_keywords,related_law,bucket_key,cluster_text_norm,cluster_id,cluster_size,is_cluster_representative,importance,urgency,priority_type,cap_reason,evidence_tags,risk_evidence,counter_evidence,confidence,needs_review,trainable,validation_flags,reason,model,label_source
C28522-1,train,δ│┤Ω▒┤∞åî/δ│┤Ω▒┤∞åî_20008.json,20190710131702,창원보건소의 마약류 취급 허가 관련 질문드립니다.,보건소,기타,문의(질의),보건정책과,마약류|취급 허가,마약류|취급허가,,보건소|기타|문의질의|마약류|취급허가,창원보건소의 마약류 취급 허가 관련 질문드립니다,C00129618,5,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C22668-1,train,Ω╡Éφå╡/Ω╡Éφå╡_85465.json,20190430103201,창원시 전기공사면허 반납을 문의합니다.,교통,기타,문의(질의),경제교통과,전기공사면허|반납|문의,문의|반납|전기공사면허,,교통|기타|문의질의|문의|반납|전기공사면허,창원시 전기공사면허 반납을 문의합니다,C00058697,4,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C46065-3,train,∞òê∞áäΩ▒┤∞äñ/∞òê∞áäΩ▒┤∞äñ_93747.json,20191231154448,의창구의 지게차 면허증 신규발급 예정인데 필요한 서류와 사진은 몇 장이나 필요한지 알려주세요.,안전건설,기타,문의(질의),안전건설과,의창구,,,안전건설|기타|문의질의|__no_keyword__,의창구의 지게차 면허증 신규발급 예정인데 필요한 서류와 사진은 몇 장이나 필요한지 알려주세요,C00224620,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
B950-3,train,Ω│╡φå╡/Ω│╡φå╡_30290.json,2016-08-24,"자동차세 내러 왔는데 누구 하나 뭐 하러 왔는지 묻지도 않고 세금 담당자는 50분 째 보이지도 않고, 주민센터 방문 불편사항 민원 접수하고 싶습니다.",공통,기타,요청/개선,마산회원구청,자동차세|세금 담당자|주민센터|불편|민원,민원|불편|세금담당자|자동차세|주민센터,,공통|기타|요청개선|민원|불편|세금담당자|자동차세|주민센터,자동차세 내러 왔는데 누구 하나 뭐 하러 왔는지 묻지도 않고 세금 담당자는 50분 째 보이지도 않고 주민센터 방문 불편사항 민원 접수하고 싶습니다,C00000102,2,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,PAYMENT_ADMIN_SIGNAL|NO_ACTION_REQUEST,0.94,false,true,,납부·세금·과태료 절차를 묻는 단순 정보 요청이라 중요도와 긴급도를 낮게 둡니다.,rubric_rules_v3,row_rule_v3
B103233-0,validation,δ│┤Ω▒┤∞åî/δ│┤Ω▒┤∞åî_2502.json,2019-02-05,"현재 질병관리청 백신 접수에서는 한글 이름으로 관리가 되고 있는 것 같으나 본인 인증하라는 은행 공동인증서는 영문으로 발급 되어 있습니다. 따라서, 공동인증서 명의자가 다르다고 인식되어 본인 인증은 불가한 상태입니다. 그래서 백신 예약을 할 수 없는 상태입니다.",보건소,기타,건의/제기,건강관리과,질병관리청|백신|한글|이름|영문,백신|영문|이름|질병관리청|한글,,보건소|기타|건의제기|백신|영문|이름|질병관리청|한글,현재 질병관리청 백신 접수에서는 한글 이름으로 관리가 되고 있는 것 같으나 본인 인증하라는 은행 공동인증서는 영문으로 발급 되어 있습니다 따라서 공동인증서 명의자가 다르다고 인식되어 본인 인증은 불가한 상태입니다 그래서 백신 예약을 할 수 없는 상태입니다,C00125599,5,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,NO_ACTION_REQUEST,0.9,false,true,,질문·절차·정보 확인 중심이며 직접 조치나 위험 근거가 없어 낮은 우선순위로 둡니다.,rubric_rules_v3,row_rule_v3
C9960-4,train,Ω▒┤∞╢òφùêΩ░Ç/Ω▒┤∞╢òφùêΩ░Ç_57256.json,20190328160254,창원시 회원구에 위치한 상가 용도가 어떻게 되나요?,건축허가,기타,문의(질의),건축허가과,회원구|상가|용도,상가|용도,,건축허가|기타|문의질의|상가|용도,창원시 회원구에 위치한 상가 용도가 어떻게 되나요,C00091732,2,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
B127553-4,train,Ω│╡φå╡/Ω│╡φå╡_30290.json,1-28-2011,시장님이 매주 목요일 마다 시민과의 만남을 갖는다고 하던데 사실인지 하여 문의 합니다.,공통,"진정, 건의",문의(질의),열린민원과,시장님,시장님,,공통|진정건의|문의질의|시장님,시장님이 매주 목요일 마다 시민과의 만남을 갖는다고 하던데 사실인지 하여 문의 합니다,C00013434,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
B76538-1,train,δ│┤Ω▒┤∞åî/δ│┤Ω▒┤∞åî_20008.json,2021-08-05,내일부터 창원시 4단계인데 모레 부터 동호회 모임이 있어 관련 문의합니다.,보건소,기타,요청/개선,문화위생과,내일|창원시|4단계|모레|동호회 모임,4단계|내일|동호회모임|모레,,보건소|기타|요청개선|4단계|내일|동호회모임|모레,내일부터 창원시 4단계인데 모레 부터 동호회 모임이 있어 관련 문의합니다,C00124936,5,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C11330-1,validation,δ¼╕φÖö_∞▓┤∞£í_Ω┤ÇΩ┤æ/δ¼╕φÖö_∞▓┤∞£í_Ω┤ÇΩ┤æ_2528.json,20190405160048,천주산 진달래 축제 일정 관련 질문 있습니다.,문화_체육_관광,지역행사,문의(질의),문화예술과,천주산|진달래|축제|질문,진달래|질문|축제,,문화체육관광|지역행사|문의질의|진달래|질문|축제,천주산 진달래 축제 일정 관련 질문 있습니다,C00392690,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C7856-1,train,δ¼╕φÖö_∞▓┤∞£í_Ω┤ÇΩ┤æ/δ¼╕φÖö_∞▓┤∞£í_Ω┤ÇΩ┤æ_20224.json,20190211144102,도시계획과 김#@이름# 국장님 전화번호 알려 주세요.,문화_체육_관광,기타,문의(질의),도시계획과,도시계획과|국장|전화번호,국장|도시계획과|전화번호,,문화체육관광|기타|문의질의|국장|도시계획과|전화번호,도시계획과 김 국장님 전화번호 알려 주세요,C00112778,4,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C30642-1,train,φåá∞ºÇ/φåá∞ºÇ_6092.json,20190823104347,도로 보상에 대한 건으로 청원시에 문의합니다.,토지,기타,문의(질의),건설도로과,도로 보상,도로보상,,토지|기타|문의질의|도로보상,도로 보상에 대한 건으로 청원시에 문의합니다,C00167113,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C18013-4,train,Ω▓╜∞á£/Ω▓╜∞á£_15725.json,20190430103051,합포구에 사는데 1인 단독가구의 기초연금 수급 자격에 대해 문의 드려요.,경제,기타,문의(질의),가정복지과,합포구|1인 단독가구|기초연금|수급|자격,1인단독가구|기초연금|수급|자격,,경제|기타|문의질의|1인단독가구|기초연금|수급|자격,합포구에 사는데 1인 단독가구의 기초연금 수급 자격에 대해 문의 드려요,C00101983,4,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C17271-1,validation,Ω▓╜∞á£/Ω▓╜∞á£_1965.json,20190521171015,하반기 공공근로 모집 문의 드려요.,경제,기타,문의(질의),일자리창출과,하반기|공공근로,공공근로|하반기,,경제|기타|문의질의|공공근로|하반기,하반기 공공근로 모집 문의 드려요,C00101906,10,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C24915-3,train,δåì∞ùà_∞╢ò∞é░/δåì∞ùà_∞╢ò∞é░_9392.json,20190610170255,과실수를 농업기술센터에서 구매하고 싶은데 가능한가요?,농업_축산,기타,문의(질의),농업기술과,과실수|농업기술센터|구매,과실수|구매|농업기술센터,,농업축산|기타|문의질의|과실수|구매|농업기술센터,과실수를 농업기술센터에서 구매하고 싶은데 가능한가요,C00119191,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C49963-3,train,∞ä╕δ¼┤/∞ä╕δ¼┤_20500.json,20191226143308,개인택시 정기분 자동차세 고지서가 오지 않아서 문의하니 확인 부탁드립니다.,세무,지방세,문의(질의),세무과,정기분,정기분,,세무|지방세|문의질의|정기분,개인택시 정기분 자동차세 고지서가 오지 않아서 문의하니 확인 부탁드립니다,C00210415,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,PAYMENT_ADMIN_SIGNAL|NO_ACTION_REQUEST,0.94,false,true,,납부·세금·과태료 절차를 묻는 단순 정보 요청이라 중요도와 긴급도를 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C2168-3,train,∞ä╕δ¼┤/∞ä╕δ¼┤_20500.json,20190122141652,답변바랍니다. 작년 9월에 매매한 차량에 대한 자동차세 환급은 언제 되는 건가요?,세무,지방세,문의(질의),세무과,,,,세무|지방세|문의질의|__no_keyword__,답변바랍니다 작년 9월에 매매한 차량에 대한 자동차세 환급은 언제 되는 건가요,C00200123,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,PAYMENT_ADMIN_SIGNAL|NO_ACTION_REQUEST,0.94,false,true,,납부·세금·과태료 절차를 묻는 단순 정보 요청이라 중요도와 긴급도를 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C29669-4,train,Ω▒┤∞╢òφùêΩ░Ç/Ω▒┤∞╢òφùêΩ░Ç_57256.json,20190710104616,건축물용도 변경으로 문의드리니 회원구청 건축허가과 담당자 연결 부탁합니다.,건축허가,기타,요청/개선,건축허가과,회원구청|건축허가과|연결,건축허가과|연결|회원구청,,건축허가|기타|요청개선|건축허가과|연결|회원구청,건축물용도 변경으로 문의드리니 회원구청 건축허가과 담당자 연결 부탁합니다,C00094034,5,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C34722-3,train,∞ä╕δ¼┤/∞ä╕δ¼┤_20500.json,20190715154329,자동차세 환급은 언제 나오나요? 자동차 매매 후 한 달 가량 지났습니다,세무,지방세,문의(질의),세무과,자동차|매매|자동차세|환급,매매|자동차|자동차세|환급,,세무|지방세|문의질의|매매|자동차|자동차세|환급,자동차세 환급은 언제 나오나요 자동차 매매 후 한 달 가량 지났습니다,C00207150,11,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,PAYMENT_ADMIN_SIGNAL|NO_ACTION_REQUEST,0.94,false,true,,납부·세금·과태료 절차를 묻는 단순 정보 요청이라 중요도와 긴급도를 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C16481-4,train,∞₧ÉδÅÖ∞░¿/∞₧ÉδÅÖ∞░¿_295107.json,20190415174000,자동차 번호판 변경하려는데 업무시간이 몇 시까지 인가요?,자동차,자동차 신규/이전등록,문의(질의),창원차량등록과,자동차|번호판|변경|업무시간,번호판|변경|업무시간|자동차,,자동차|자동차신규이전등록|문의질의|번호판|변경|업무시간|자동차,자동차 번호판 변경하려는데 업무시간이 몇 시까지 인가요,C00385339,4,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C42743-1,train,δ│┤Ω▒┤∞åî/δ│┤Ω▒┤∞åî_20008.json,20191122160129,예방접종과 관련해 여쭤볼게 있어 연락드립니다.,보건소,기타,문의(질의),보건행정과,예방접종,예방접종,,보건소|기타|문의질의|예방접종,예방접종과 관련해 여쭤볼게 있어 연락드립니다,C00127327,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C44842-4,validation,δ│┤Ω▒┤∞åî/δ│┤Ω▒┤∞åî_2502.json,20191119125841,B형간염 예방접종 관련해서 문의 사항이 있습니다.,보건소,기타,문의(질의),건강관리과,B형간염|예방접종,b형간염|예방접종,,보건소|기타|문의질의|b형간염|예방접종,b형간염 예방접종 관련해서 문의 사항이 있습니다,C00127528,22,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C11605-4,validation,δ│┤Ω▒┤∞åî/δ│┤Ω▒┤∞åî_2502.json,20190415122427,성산구 상남동 소독증명서 발급 궁금한 게 있어서 문의합니다.,보건소,소독업,문의(질의),보건정책과,성산구|소독증명서|문의,문의|소독증명서,,보건소|소독업|문의질의|문의|소독증명서,성산구 상남동 소독증명서 발급 궁금한 게 있어서 문의합니다,C00128086,2,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C15134-3,train,Ω╡Éφå╡/Ω╡Éφå╡_85465.json,20190326152614,창원시 대중교통과를 담당하는 담당자와 부서 전화번호 안내해주세요. 직접 통화해서 물어보고 싶습니다.,교통,대중교통,요청/개선,대중교통과,대중교통과,대중교통과,,교통|대중교통|요청개선|대중교통과,창원시 대중교통과를 담당하는 담당자와 부서 전화번호 안내해주세요 직접 통화해서 물어보고 싶습니다,C00057724,3,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C15310-4,train,δ¼╕φÖö_∞▓┤∞£í_Ω┤ÇΩ┤æ/δ¼╕φÖö_∞▓┤∞£í_Ω┤ÇΩ┤æ_20224.json,20190327151812,공단로 블루라인 셔틀 버스에 대해 질문있어요.,문화_체육_관광,기타,문의(질의),문화예술과,공단로|블루라인 셔틀 버스,블루라인셔틀버스,,문화체육관광|기타|문의질의|블루라인셔틀버스,공단로 블루라인 셔틀 버스에 대해 질문있어요,C00113439,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
B108538-1,validation,Ω╡Éφå╡/Ω╡Éφå╡_10683.json,2016-06-05,진해구 남흥아파트사거리에서 안민터널 방향으로 가는 해원로 차도 우측에 위치한 공간은 무엇을 하기 위한 공간인가요?,교통,기타,문의(질의),생태교통과,진해구|남흥아파트|안민터널|해원로|공간,공간|안민터널|해원로,,교통|기타|문의질의|공간|안민터널|해원로,진해구 남흥아파트사거리에서 안민터널 방향으로 가는 해원로 차도 우측에 위치한 공간은 무엇을 하기 위한 공간인가요,C00053547,4,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
